code_no,sub_title,sub_desc,ch_title,ch_desc,que_title,que_desc,test
CMP 115,OOP in C++,"C++ is a powerful and versatile programming language known for its efficiency, flexibility, and extensive capabilities. It is an extension of the widely used C language, adding object-oriented programming features, such as classes and inheritance, while maintaining its low-level functionality.",Thinking Object Oriented,"OOP promotes modular and organized code, making it easier to understand, maintain, and scale software systems. It encourages concepts like modularity, reusability, and separation of concerns, leading to more efficient and structured development practices. OOP is widely used in many programming languages, including C++, Java, Python, and C#.",Print Hello World,"### //This is the description of the question Read the *question* and solve the problem```cpp void hello() {  cout << ""hello"";}```",
CMP 115,OOP in C++,"C++ is a powerful and versatile programming language known for its efficiency, flexibility, and extensive capabilities. It is an extension of the widely used C language, adding object-oriented programming features, such as classes and inheritance, while maintaining its low-level functionality.",Thinking Object Oriented,"OOP promotes modular and organized code, making it easier to understand, maintain, and scale software systems. It encourages concepts like modularity, reusability, and separation of concerns, leading to more efficient and structured development practices. OOP is widely used in many programming languages, including C++, Java, Python, and C#.",Add two integer numbers,Declare two integer variables and and print their sum,
CMP 115,OOP in C++,"C++ is a powerful and versatile programming language known for its efficiency, flexibility, and extensive capabilities. It is an extension of the widely used C language, adding object-oriented programming features, such as classes and inheritance, while maintaining its low-level functionality.",Thinking Object Oriented,"OOP promotes modular and organized code, making it easier to understand, maintain, and scale software systems. It encourages concepts like modularity, reusability, and separation of concerns, leading to more efficient and structured development practices. OOP is widely used in many programming languages, including C++, Java, Python, and C#.",Even or Odd?,Input a number from the user and check if its odd or even,
CMP 115,OOP in C++,"C++ is a powerful and versatile programming language known for its efficiency, flexibility, and extensive capabilities. It is an extension of the widely used C language, adding object-oriented programming features, such as classes and inheritance, while maintaining its low-level functionality.",Classes and Methods,"In object-oriented programming (OOP), a class is a blueprint or template that defines the structure, behavior, and properties of objects. It serves as a blueprint for creating instances of objects, which are specific occurrences of the class.",Construct a class,Declare a class called 'student' and make two variables 'student_name' and 'student_roll'. Assign values to them and print them.,
CMP 115,OOP in C++,"C++ is a powerful and versatile programming language known for its efficiency, flexibility, and extensive capabilities. It is an extension of the widely used C language, adding object-oriented programming features, such as classes and inheritance, while maintaining its low-level functionality.",Classes and Methods,"In object-oriented programming (OOP), a class is a blueprint or template that defines the structure, behavior, and properties of objects. It serves as a blueprint for creating instances of objects, which are specific occurrences of the class.",A class and its methods,"Construct a class called 'animal'. Declare a method 'getName()' and invoke it to ask the to enter the name of their pet. Then, assign that input to the class variable 'animal_name' and print it.",
CMP113,Programming in C,"C is a high-level programming language that offers a structured approach to coding and is widely used to create efficient and powerful applications. Learning programming in C introduces students and developers to essential programming concepts, such as variables, data types, control structures, and functions. It encourages a deeper understanding of how computer programs work and teaches problem-solving skills that are transferable to other programming languages.",,,,,
CMP225,Data Structures and Algorithms,"Data structures and algorithms form the backbone of efficient and effective computer programming.  
It encompasses a wide range of topics, including sorting algorithms, searching algorithms, graph algorithms, dynamic programming, and many more. It involves analyzing the time and space complexities of algorithms, evaluating their efficiency, and understanding their trade-offs in different scenarios.",,,,,
CMP226,Database Management Systems,"Database Management Systems (DBMS) are essential tools that facilitate the efficient organization, storage, retrieval, and management of vast amounts of data. A database management system provides a systematic approach to creating, maintaining, and interacting with databases. It offers a comprehensive set of functionalities, such as data modeling, data storage, data querying, and data manipulation, enabling users to store, retrieve, and analyze information easily and effectively.",,,,,
CMP241,Computer Graphics,"Computer graphics is a captivating field that combines art, mathematics, and computer science to create visually compelling images, animations, and interactive experiences using digital technology. It encompasses a wide range of techniques and tools to manipulate and present visual data on a computer screen.",,,,,
CMP212,Programming in Java,"Programming in Java is a popular and versatile skill that plays a vital role in the field of software development. Java, an object-oriented programming language, offers a robust and platform-independent framework for building a wide range of applications, from desktop software to web and mobile applications.",,,,,
CMP350,Simulation and Modeling,"Simulation and modeling is a dynamic field that enables us to recreate and study complex systems in a controlled environment. It involves using computer programs and mathematical algorithms to mimic real-world phenomena, allowing us to explore, analyze, and predict the behavior of systems that may be too expensive, dangerous, or impractical to study directly.",,,,,
